中文,繁體,英文,拼音,领域,适用法域,来源地区,类型,来源语境,学习注释,来源记录,条目ID,数据许可,译文审核,中文释义,译法说明,法律依据
执行和解,執行和解,settlement during enforcement proceedings,zhi2 xing2 he2 jie3,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,因欺诈、胁迫达成或者一方不履行和解协议时，符合条件可恢复对原生效法律文书的执行。,oll-cn-dispute-resolution:cn-cpl-enforcement-settlement,cn-cpl-enforcement-settlement,CC-BY-4.0,project_authored,执行过程中，申请执行人与被执行人自行达成关于履行方式、期限等事项的和解协议。,项目释译，非官方译文；settlement during enforcement proceedings distinguishes this from a pre-judgment settlement of the underlying dispute.,中华人民共和国民事诉讼法（2023年修正） 第241条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
执行行为异议,執行行爲異議,objection to an enforcement act,zhi2 xing2 xing2 wei2 yi4 yi4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,对异议裁定不服的，可以在法定期限内向上一级人民法院申请复议；它与案外人对执行标的提出异议的制度不同。,oll-cn-dispute-resolution:cn-cpl-objection-enforcement-act,cn-cpl-objection-enforcement-act,CC-BY-4.0,project_authored,当事人或者利害关系人认为具体执行行为违反法律规定，向负责执行的人民法院提出书面异议。,项目释译，非官方译文；objection to an enforcement act distinguishes the challenged enforcement conduct from a third party’s claim to the property itself.,中华人民共和国民事诉讼法（2023年修正） 第236条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
承诺,承諾,acceptance of an offer,cheng2 nuo4,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,承诺生效时合同原则上成立，法律或当事人另有规定、约定的除外。,oll-cn-core:cn-acceptance,cn-acceptance,CC-BY-4.0,project_authored,受要约人同意要约的意思表示。,项目释译，非官方译文；这里是订约程序中的 acceptance，不是任何日常 promise。,"中华人民共和国民法典（2020） 第479,483条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
承诺迟到,承諾遲到,acceptance delayed in transmission,cheng2 nuo4 chi2 dao4,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,除要约人及时通知因超期不接受外，该承诺有效；这与逾期发出的承诺不同。,oll-cn-contract-phrases:cn-delayed-transmission-acceptance,cn-delayed-transmission-acceptance,CC-BY-4.0,project_authored,承诺在期限内发出且通常能够及时到达，却因其他原因超过期限才到达。,项目释译，非官方译文；加入 delayed in transmission 区分发送及时而到达延误的语境；中文标签为条文情形概括。,中华人民共和国民法典（2020） 第487条 https://www.court.gov.cn/zixun/xiangqing/233181.html
技术进出口,技術進出口,import and export of technology,ji4 shu4 jin4 chu1 kou3,trade,CN,INTERNATIONAL,term,中华人民共和国对外贸易法（2025第二次修订）,第十六条原则上准许货物与技术自由进出口，但法律、行政法规另有规定的除外；限制进出口技术实行许可证管理。,oll-cn-tax-trade:cn-trade-in-technology,cn-trade-in-technology,CC-BY-4.0,project_authored,作为《对外贸易法》对外贸易组成部分的技术进口与出口活动。,项目释译，非官方译文；import and export of technology 对应技术进出口。,"中华人民共和国对外贸易法（2025第二次修订） 第2,16,21条 https://www.baiyinqu.gov.cn/XZJDBMDW/bmdw/byqswjn/fdzdgknr/lzyj/zcfg/art/2025/art_f4f31ac31bb8407a8b8d6afd5ac8f411.html"
抵押权,抵押權,mortgage right,di3 ya1 quan2,"property,finance",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,抵押人与抵押权人分属提供财产者和债权人；不转移占有是该条的要点。,oll-cn-core:cn-mortgage-right,cn-mortgage-right,CC-BY-4.0,project_authored,为担保债务，不转移抵押财产占有而设立，使债权人依法就该财产优先受偿的权利。,项目释译，非官方译文；中国法抵押可涉及法律允许的动产，不能仅按英语日常房贷含义理解。,中华人民共和国民法典（2020） 第394条 https://www.court.gov.cn/zixun/xiangqing/233181.html
担保物权,擔保物權,security right in property,dan1 bao3 wu4 quan2,"property,finance",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,法律另有规定的除外；优先受偿的对象是担保财产。,oll-cn-core:cn-security-right,cn-security-right,CC-BY-4.0,project_authored,在债务不履行或约定实现情形发生时，依法就担保财产优先受偿的物权。,项目释译，非官方译文；security 在此不是证券，也不是信息安全。,中华人民共和国民法典（2020） 第386条 https://www.court.gov.cn/zixun/xiangqing/233181.html
拍卖、变卖被查封扣押财产,拍賣、變賣被查封扣押財產,auction or sell seized property,,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,处置方式、价格和程序还受执行规则约束，本词条仅概括民事诉讼法规定的基本措施。,oll-cn-dispute-resolution:cn-cpl-auction-sale-seized-property,cn-cpl-auction-sale-seized-property,CC-BY-4.0,project_authored,人民法院对被查封、扣押的财产，依法通过拍卖或者在法定情形下变卖等方式实现执行价值。,项目释译，非官方译文；seized property covers property under court seizure or detention in enforcement and is not limited to one asset class.,中华人民共和国民事诉讼法（2023年修正） 第258条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
指定管辖,指定管轄,designation of jurisdiction by a higher court,zhi3 ding4 guan3 xia2,dispute_resolution,CN,INTERNATIONAL,term,中华人民共和国民事诉讼法（2023年修正）,指定管辖是上级法院解决特定管辖障碍的机制，不等同于当事人协议选择法院。,oll-cn-dispute-resolution:cn-cpl-designated-jurisdiction,cn-cpl-designated-jurisdiction,CC-BY-4.0,project_authored,有管辖权的法院因特殊原因不能行使管辖权，或者法院之间发生管辖争议且协商不成时，由上级人民法院指定管辖。,项目释译，非官方译文；designation by a higher court is used descriptively and should not be read as party-chosen forum selection.,中华人民共和国民事诉讼法（2023年修正） 第38条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
控股股东,控股股東,controlling shareholder,kong4 gu3 gu3 dong1,company,CN,INTERNATIONAL,role,中华人民共和国公司法（2023修订）,不是只按是否持股超过百分之五十作机械判断；应逐项核对第二百六十五条。,oll-cn-core:cn-controlling-shareholder,cn-controlling-shareholder,CC-BY-4.0,project_authored,出资或持股符合条文比例，或者凭表决权足以对股东会决议产生重大影响的股东。,项目释译，非官方译文；与不一定具有股东身份的实际控制人区分。,中华人民共和国公司法（2023修订） 第265条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html
提前履行债务,提前履行債務,perform an obligation before it falls due,ti2 qian2 lv3 xing2 zhai4 wu4,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,债权人可拒绝，但不损害其利益的除外；因此增加的费用由债务人负担。,oll-cn-contract-phrases:cn-early-performance,cn-early-performance,CC-BY-4.0,project_authored,债务人在约定或依法确定的履行时点前履行债务。,项目释译，非官方译文；before it falls due 明确时间关系，不把提前履行限定为提前还贷。,中华人民共和国民法典（2020） 第530条 https://www.court.gov.cn/zixun/xiangqing/233181.html
提示和说明格式条款,提示和說明格式條款,draw attention to and explain standard terms,ti2 shi4 he2 shuo1 ming2 ge2 shi4 tiao2 kuan3,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,未履行义务致对方未注意或理解的，对方可主张该条款不成为合同内容；不直接表述为全部合同无效。,oll-cn-contract-phrases:cn-draw-attention-standard-terms,cn-draw-attention-standard-terms,CC-BY-4.0,project_authored,格式条款提供方以合理方式提示重大利害关系条款，并依对方要求作出说明。,项目释译，非官方译文；draw attention to 表示提示注意，explain 表示说明；两项义务的触发方式分别保留。,中华人民共和国民法典（2020） 第496条 https://www.court.gov.cn/zixun/xiangqing/233181.html
提起上诉,提起上訴,file an appeal,ti2 qi3 shang4 su4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,判决的上诉期通常为送达之日起十五日，裁定通常为十日；再审是针对已生效裁判的另一程序。,oll-cn-dispute-resolution:cn-cpl-appeal,cn-cpl-appeal,CC-BY-4.0,project_authored,当事人对地方人民法院第一审判决或特定裁定不服，在法定期限内向上一级人民法院提起上诉。,项目释译，非官方译文；appeal is distinct from an application for retrial of an effective judgment.,中华人民共和国民事诉讼法（2023年修正） 第171条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
撤回同意,撤回同意,withdrawal of consent,che4 hui2 tong2 yi4,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,应提供便捷撤回方式；撤回不影响此前基于同意开展的处理活动效力。,oll-cn-core:cn-withdraw-consent,cn-withdraw-consent,CC-BY-4.0,project_authored,个人撤回先前作为个人信息处理依据的同意的权利。,项目释译，非官方译文；withdrawal 不意味着此前全部处理自动违法。,中华人民共和国个人信息保护法（2021） 第15条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
撤回承诺,撤回承諾,withdraw an acceptance,che4 hui2 cheng2 nuo4,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,本条针对承诺的撤回；不要在承诺已经生效后直接套用撤回规则解除合同。,oll-cn-contract-phrases:cn-withdraw-acceptance,cn-withdraw-acceptance,CC-BY-4.0,project_authored,在承诺通知到达要约人之前或者与其同时到达的撤回表示。,项目释译，非官方译文；acceptance 限定为订约承诺，区别于撤回日常允诺。,"中华人民共和国民法典（2020） 第141,485条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
撤回要约,撤回要約,withdraw an offer,che4 hui2 yao1 yue1,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,第四百七十五条引向第一百四十一条；与要约已经发生效力后的撤销分别记忆。,oll-cn-contract-phrases:cn-withdraw-offer,cn-withdraw-offer,CC-BY-4.0,project_authored,使要约不发生效力的撤回表示，须在要约到达受要约人之前或者与要约同时到达。,项目释译，非官方译文；withdraw 对应本条“撤回”，不与 revoke 无条件互换。,"中华人民共和国民法典（2020） 第141,475条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
撤销缓刑,撤銷緩刑,revocation of probation,che4 xiao1 huan3 xing2,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第七十七条区分新罪/漏罪与严重违反监督管理规定等撤销路径。,oll-cn-criminal:cn-revocation-probation,cn-revocation-probation,CC-BY-4.0,project_authored,缓刑人员在考验期内犯新罪、发现漏罪或严重违反法定监督管理规定等情况下，依法撤销缓刑并处理刑罚的制度。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第77条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
撤销要约,撤銷要約,revoke an offer,che4 xiao1 yao1 yue1,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,需先排除不可撤销的情形；对话方式要求承诺前知悉，非对话方式要求承诺前到达。,oll-cn-contract-phrases:cn-revoke-offer,cn-revoke-offer,CC-BY-4.0,project_authored,在法律允许撤销的情况下，于受要约人作出承诺前使要约失去约束力的行为。,项目释译，非官方译文；revoke 对应本条“撤销要约”，不是撤销已成立合同。,"中华人民共和国民法典（2020） 第476,477条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
改编权,改編權,right of adaptation,gai3 bian1 quan2,intellectual_property,CN,INTERNATIONAL,term,中华人民共和国著作权法（2020修正）,条文要求产生具有独创性的新作品；不能简单等同任何文件格式转换。,oll-cn-core:cn-adaptation-right,cn-adaptation-right,CC-BY-4.0,project_authored,改变作品并创作出具有独创性的新作品的权利。,项目释译，非官方译文；adaptation 是作品改编语境。,中华人民共和国著作权法（2020修正） 第10条 https://www.ncac.gov.cn/xxfb/flfg/flfg_532/202103/t20210309_50530.html
故意犯罪,故意犯罪,intentional crime,gu4 yi4 fan4 zui4,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第十四条同时涵盖希望结果发生与放任结果发生两种故意形态；具体罪名仍须满足分则构成要件。,oll-cn-criminal:cn-intentional-crime,cn-intentional-crime,CC-BY-4.0,project_authored,行为人明知自己的行为会发生危害社会的结果，并且希望或者放任该结果发生，因而构成的犯罪。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第14条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
敏感个人信息,敏感個人信息,sensitive personal information,min3 gan3 ge4 ren2 xin4 xi1,privacy,CN,INTERNATIONAL,term,中华人民共和国个人信息保护法（2021）,该条还包括不满十四周岁未成年人的个人信息；处理须有特定目的、充分必要性和严格保护措施。,oll-cn-core:cn-sensitive-information,cn-sensitive-information,CC-BY-4.0,project_authored,一旦泄露或非法使用，容易侵害人格尊严或危害人身、财产安全的个人信息。,项目释译，非官方译文；不只指当事人主观认为敏感的信息。,中华人民共和国个人信息保护法（2021） 第28条 https://www.cac.gov.cn/2021-08/20/c_1631050028355286.htm
教唆犯,教唆犯,instigator,jiao4 suo1 fan4,criminal,CN,INTERNATIONAL,role,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第二十九条还规定教唆不满十八周岁的人犯罪应从重，以及被教唆人未实施被教唆犯罪时的从宽可能。,oll-cn-criminal:cn-instigator,cn-instigator,CC-BY-4.0,project_authored,教唆他人犯罪，并依法按照其在共同犯罪中所起作用承担刑事责任的犯罪人。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第29条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
数罪并罚,數罪併罰,combined punishment for multiple crimes,shu4 zui4 bing4 fa2,criminal,CN,INTERNATIONAL,term,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第六十九条对有期徒刑等主刑、附加刑的并罚方式分别作出规定。,oll-cn-criminal:cn-combined-punishment,cn-combined-punishment,CC-BY-4.0,project_authored,一人被判决宣告以前犯数罪时，依法分别定罪量刑后按照刑法规则决定执行刑罚的制度。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第69条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
无因管理,無因管理,management of another's affairs without mandate,wu2 yin1 guan3 li3,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,符合法律规定的管理人可请求受益人偿还必要费用；无因不是没有任何事实原因。,oll-cn-core:cn-management-without-mandate,cn-management-without-mandate,CC-BY-4.0,project_authored,没有法定或者约定义务，为避免他人利益受损而管理他人事务的行为。,项目释译，非官方译文；也常借用拉丁语 negotiorum gestio；本库使用解释性英文。,中华人民共和国民法典（2020） 第121条 https://www.court.gov.cn/zixun/xiangqing/233181.html
无固定期限劳动合同,無固定期限勞動合同,open-ended employment contract,wu2 gu4 ding4 qi1 xian4 lao2 dong4 he2 tong2,employment,CN,INTERNATIONAL,term,中华人民共和国劳动合同法（2012修正）,除协商订立外，法律还列举连续工作年限、连续订立固定期限合同等应当订立的情形；自用工之日起满一年未订立书面合同的，法律规定视为已订立无固定期限劳动合同。,oll-cn-admin-labor:cn-labor-open-ended-contract,cn-labor-open-ended-contract,CC-BY-4.0,project_authored,用人单位与劳动者约定没有确定终止时间的劳动合同。,项目释译，非官方译文；open-ended 不表示合同永远不能解除或终止，而是没有预先确定的终止时间。,中华人民共和国劳动合同法（2012修正） 第14条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
无权代理,無權代理,unauthorized agency,wu2 quan2 dai4 li3,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,未经被代理人追认，对被代理人不发生效力；善意相对人的权利另由条文规定。,oll-cn-core:cn-unauthorized-agency,cn-unauthorized-agency,CC-BY-4.0,project_authored,没有代理权、超越代理权或者代理权终止后仍实施代理行为的情形。,项目释译，非官方译文；不能把所有无权代理情形一概译成有效代理。,中华人民共和国民法典（2020） 第171条 https://www.court.gov.cn/zixun/xiangqing/233181.html
无民事行为能力,無民事行爲能力,lack of capacity for civil juristic acts,wu2 min2 shi4 xing2 wei2 neng2 li4,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,不满八周岁未成年人、不能辨认自己行为的成年人，以及符合第二十一条第二款的未成年人属于相应情形。,oll-cn-core:cn-no-capacity,cn-no-capacity,CC-BY-4.0,project_authored,依法由法定代理人代理实施民事法律行为的状态。,项目释译，非官方译文；本词不意味着没有民事权利能力。,"中华人民共和国民法典（2020） 第20,21条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
无过错责任,無過錯責任,no-fault tort liability,wu2 guo4 cuo4 ze2 ren4,civil,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,须有法律规定作为依据，不能仅因发生损害就普遍适用。,oll-cn-core:cn-no-fault-tort-liability,cn-no-fault-tort-liability,CC-BY-4.0,project_authored,法律规定不以行为人有无过错为条件而承担侵权责任的归责方式。,项目释译，非官方译文；不声称与各法域 strict liability 的适用范围完全相同。,中华人民共和国民法典（2020） 第1166条 https://www.court.gov.cn/zixun/xiangqing/233181.html
普通税率,普通稅率,general tariff rate,pu3 tong1 shui4 lv4,"tax,trade",CN,INTERNATIONAL,term,中华人民共和国关税法（2024）,第十二条第四款规定普通税率的适用范围；“普通”不意味着通常最常适用，而是法定税率类别名称。,oll-cn-tax-trade:cn-customs-general-rate,cn-customs-general-rate,CC-BY-4.0,project_authored,对不属于最惠国税率、协定税率或特惠税率适用范围的国家或地区原产货物，以及原产地不明的进口货物适用的税率。,项目释译，非官方译文；general tariff rate 为项目释译，注意其法定类别含义。,"中华人民共和国关税法（2024） 第10,12条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html"
最惠国税率,最惠國稅率,most-favored-nation (MFN) tariff rate,zui4 hui4 guo2 shui4 lv4,"tax,trade",CN,INTERNATIONAL,term,中华人民共和国关税法（2024）,第十条将最惠国税率列为进口关税税率类型；第十二条规定其主要适用条件。是否适用取决于原产地及相关条约安排。,oll-cn-tax-trade:cn-customs-mfn-rate,cn-customs-mfn-rate,CC-BY-4.0,project_authored,对符合《关税法》第十二条规定的原产地和最惠国待遇条件的进口货物适用的进口关税税率。,项目释译，非官方译文；MFN tariff rate 为通行贸易术语，用于本法最惠国税率。,"中华人民共和国关税法（2024） 第10,12条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html"
有限责任公司,有限責任公司,limited liability company,you3 xian4 ze2 ren4 gong1 si1,company,CN,INTERNATIONAL,term,中华人民共和国公司法（2023修订）,公司本身以全部财产对其债务承担责任；公司责任与股东责任应分开理解。,oll-cn-core:cn-limited-liability-company,cn-limited-liability-company,CC-BY-4.0,project_authored,依公司法设立、股东以认缴出资额为限对公司承担责任的公司类型。,项目释译，非官方译文；英文仅对应本法公司类型，不自动等同美国 LLC。,"中华人民共和国公司法（2023修订） 第2,3,4条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html"
服务期,服務期,service period,fu2 wu4 qi1,employment,CN,INTERNATIONAL,term,中华人民共和国劳动合同法（2012修正）,违反服务期约定时可以约定违约金，但违约金不得超过培训费用，实际要求支付的金额也不得超过未履行服务期所分摊的培训费用。,oll-cn-admin-labor:cn-labor-service-period,cn-labor-service-period,CC-BY-4.0,project_authored,用人单位为劳动者提供专项培训费用并进行专业技术培训时，双方可依法约定劳动者承担的服务期限。,项目释译，非官方译文；service period 在此是专项培训背景下的法定约定概念，不是一般工龄。,中华人民共和国劳动合同法（2012修正） 第22条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5193025/content.html
查询、冻结、划拨、变价被执行人财产,查詢、凍結、劃撥、變價被執行人財產,"query, freeze, transfer and realize the judgment debtor’s property",,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,执行措施必须限于被执行人应履行义务的范围；不同财产类型还受相应程序规则约束。,oll-cn-dispute-resolution:cn-cpl-query-freeze-transfer-property,cn-cpl-query-freeze-transfer-property,CC-BY-4.0,project_authored,人民法院在执行中依法查询被执行人财产，并在执行标的范围内采取冻结、划拨、变价等措施。,"项目释译，非官方译文；realize is used for converting assets into value and does not by itself specify auction, sale or another method.",中华人民共和国民事诉讼法（2023年修正） 第253条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
格式条款,格式條款,standard terms,ge2 shi4 tiao2 kuan3,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,提供方负有相应提示和说明义务；违反义务的法律后果需依条文条件判断。,oll-cn-core:cn-standard-terms,cn-standard-terms,CC-BY-4.0,project_authored,为重复使用而预先拟定，订约时未与对方协商的条款。,项目释译，非官方译文；不是仅指文档排版格式。,中华人民共和国民法典（2020） 第496条 https://www.court.gov.cn/zixun/xiangqing/233181.html
案外人执行异议,案外人執行異議,third-party objection to property subject to enforcement,an4 wai4 ren2 zhi2 xing2 yi4 yi4,dispute_resolution,CN,INTERNATIONAL,action,中华人民共和国民事诉讼法（2023年修正）,法院审查后可能中止对该标的执行；后续救济取决于争议是否涉及原生效裁判本身。,oll-cn-dispute-resolution:cn-cpl-outsider-objection-execution-target,cn-cpl-outsider-objection-execution-target,CC-BY-4.0,project_authored,执行过程中，案外人对被执行的特定财产或标的主张权利，并向人民法院提出书面异议。,"项目释译，非官方译文；third-party means a person outside the enforcement case, not necessarily a contractual third party.",中华人民共和国民事诉讼法（2023年修正） 第238条 https://jiangsu.chinatax.gov.cn/art/2023/9/1/art_23636_1028.html
欺诈,欺詐,fraud inducing a civil juristic act,qi1 zha4,"civil,contracts",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,受欺诈方可请求法院或仲裁机构撤销；本条语境是民事行为效力，不是刑事诈骗罪定义。,oll-cn-core:cn-fraud,cn-fraud,CC-BY-4.0,project_authored,以欺诈手段使对方违背真实意思实施民事法律行为的情形。,项目释译，非官方译文；用语境限定 fraud，避免与特定犯罪罪名混用。,中华人民共和国民法典（2020） 第148条 https://www.court.gov.cn/zixun/xiangqing/233181.html
正当防卫,正當防衛,justifiable defense,zheng4 dang4 fang2 wei4,criminal,CN,INTERNATIONAL,action,中华人民共和国刑法（含刑法修正案十二的现行合并文本）,第二十条要求存在正在进行的不法侵害，并同时规定防卫过当和针对严重危及人身安全暴力犯罪的特别规则。,oll-cn-criminal:cn-justifiable-defense,cn-justifiable-defense,CC-BY-4.0,project_authored,为保护国家、公共利益、本人或他人的人身、财产及其他权利免受正在进行的不法侵害，对侵害人采取制止行为并造成损害，符合法定条件时不负刑事责任。,项目释译，非官方译文；英文仅服务中国大陆刑法学习语境，不主张跨法域概念完全等同。,中华人民共和国刑法（含刑法修正案十二的现行合并文本） 第20条 https://tianjin.chinatax.gov.cn/11200000000/0300/030004/03000418/20240920152615743.shtml
民事权利能力,民事權利能力,capacity for civil rights,min2 shi4 quan2 li4 neng2 li4,"core,civil",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,自然人从出生时起到死亡时止具有这一资格；它不等于能够独立实施所有民事法律行为。,oll-cn-core:cn-civil-rights-capacity,cn-civil-rights-capacity,CC-BY-4.0,project_authored,依法享有民事权利、承担民事义务的资格。,项目释译，非官方译文；与 capacity for civil juristic acts 分开记忆。,"中华人民共和国民法典（2020） 第13,14,18条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
民事法律行为,民事法律行爲,civil juristic act,min2 shi4 fa3 lv4 xing2 wei2,"core,civil",CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,行为有效通常需要相应行为能力、真实意思表示，并满足法律强制性规定和公序良俗要求。,oll-cn-core:cn-civil-juristic-act,cn-civil-juristic-act,CC-BY-4.0,project_authored,民事主体通过意思表示设立、变更或者终止民事法律关系的行为。,项目释译，非官方译文；juristic act 比日常意义的 legal action 更能区分法律行为与诉讼行动。,"中华人民共和国民法典（2020） 第133,143条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
法人,法人,legal person,fa3 ren2,"core,civil,company",CN,INTERNATIONAL,role,中华人民共和国民法典（2020）,法人以其全部财产独立承担民事责任；法人与代表其活动的自然人是不同主体。,oll-cn-core:cn-legal-person,cn-legal-person,CC-BY-4.0,project_authored,依法独立享有民事权利和承担民事义务，并具有民事权利能力与行为能力的组织。,项目释译，非官方译文；legal person 指组织；不能用来指公司的法定代表人。,"中华人民共和国民法典（2020） 第57,60条 https://www.court.gov.cn/zixun/xiangqing/233181.html"
法定代表人,法定代表人,legal representative of a legal person,fa3 ding4 dai4 biao3 ren2,"company,civil",CN,INTERNATIONAL,role,中华人民共和国民法典（2020）,其以法人名义从事民事活动的法律后果由法人承受；内部代表权限制不得对抗善意相对人。,oll-cn-core:cn-legal-representative,cn-legal-representative,CC-BY-4.0,project_authored,依法律或者法人章程代表法人从事民事活动的负责人。,项目释译，非官方译文；加上 of a legal person 以区别一般律师或代理人。,中华人民共和国民法典（2020） 第61条 https://www.court.gov.cn/zixun/xiangqing/233181.html
法定抵销,法定抵銷,statutory set-off,fa3 ding4 di3 xiao1,contracts,CN,INTERNATIONAL,term,中华人民共和国民法典（2020）,标的物种类、品质等须满足条文条件；主张抵销应通知对方且不得附条件或期限。,oll-cn-core:cn-statutory-setoff,cn-statutory-setoff,CC-BY-4.0,project_authored,互负债务的当事人在符合法定条件时，以自己的债务抵销对方到期债务的制度。,项目释译，非官方译文；set-off 不等于任意扣款。,中华人民共和国民法典（2020） 第568条 https://www.court.gov.cn/zixun/xiangqing/233181.html
法定解除合同,法定解除合同,terminate a contract on statutory grounds,fa3 ding4 jie3 chu2 he2 tong2,contracts,CN,INTERNATIONAL,action,中华人民共和国民法典（2020）,不是任何违约均可解除；迟延主要债务经催告仍不履行与违约致合同目的不能实现是不同事由。,oll-cn-contract-phrases:cn-statutory-termination,cn-statutory-termination,CC-BY-4.0,project_authored,当不可抗力致合同目的不能实现、特定违约等法定事由成立时解除合同。,项目释译，非官方译文；statutory grounds 强调法定条件；不把 termination 与民事行为撤销一概混同。,中华人民共和国民法典（2020） 第563条 https://www.court.gov.cn/zixun/xiangqing/233181.html
注册资本,註冊資本,registered capital,zhu4 ce4 zi1 ben3,company,CN,INTERNATIONAL,term,中华人民共和国公司法（2023修订）,本词条依据第四十七条的有限责任公司规则；认缴额不等于已经实缴的金额，期限另受条文及特别规定约束。,oll-cn-core:cn-registered-capital,cn-registered-capital,CC-BY-4.0,project_authored,有限责任公司在登记机关登记的全体股东认缴出资额。,项目释译，非官方译文；registered 不代表资金已全部到账。,中华人民共和国公司法（2023修订） 第47条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5233383/content.html
特惠税率,特惠稅率,special preferential tariff rate,te4 hui4 shui4 lv4,"tax,trade",CN,INTERNATIONAL,term,中华人民共和国关税法（2024）,第十二条规定特惠税率的适用以特殊关税优惠安排及原产地条件为基础，与协定税率并非同一类别。,oll-cn-tax-trade:cn-customs-special-preferential-rate,cn-customs-special-preferential-rate,CC-BY-4.0,project_authored,对原产于中国给予特殊关税优惠安排的国家或地区、并符合国家原产地管理规定的进口货物适用的优惠税率。,项目释译，非官方译文；special preferential tariff rate 对应本法“特惠税率”。,"中华人民共和国关税法（2024） 第10,12条 https://fgk.chinatax.gov.cn/zcfgk/c100009/c5234556/content.html"
